证券代码,证券名称,目标数量,目标权重
000402.SZ,证券,0,0.054305519
000792.SZ,证券,0,0.040265445
000937.SZ,证券,0,0.013573031
000960.SZ,证券,0,0.037059821
000983.SZ,证券,0,0.026868371
002146.SZ,证券,0,0.025709516
002470.SZ,证券,0,0.020241121
002475.SZ,证券,0,0.021361579
600038.SH,证券,0,0.026023609
600058.SH,证券,0,0.019292626
600143.SH,证券,0,0.029455696
600153.SH,证券,0,0.04645229
600188.SH,证券,0,0.012480263
600309.SH,证券,0,0.057000719
600315.SH,证券,0,0.051358737
600340.SH,证券,0,0.052240217
600348.SH,证券,0,0.022051983
600372.SH,证券,0,0.028435514
600383.SH,证券,0,0.101675927
600395.SH,证券,0,0.014046651
600549.SH,证券,0,0.031906568
600648.SH,证券,0,0.022068425
600663.SH,证券,0,0.032380511
600893.SH,证券,0,0.042394766
601225.SH,证券,0,0.02933147
601231.SH,证券,0,0.008424767
601258.SH,证券,0,0.023069912
601333.SH,证券,0,0.036227336
601699.SH,证券,0,0.021917727
601898.SH,证券,0,0.024015492
601958.SH,证券,0,0.021228847
603993.SH,证券,0,0.007135545
